Job Title,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted,Min Salary,Max Salary,Avg Salary
ai/ml engineer,develop ai models,"python, tensorflow, ai/ml","£55,000 - £85,000",edinburgh,ai innovations,mid-level,artificial intelligence,full-time,2023-02-20,55000.0,85000.0,70000.0
it auditor,audit it systems,"audit, risk management","£50,000 - £80,000",glasgow,audit experts,mid-level,audit,full-time,2023-03-25,50000.0,80000.0,65000.0
network security engineer,secure networks,"firewall, vpn, security","£55,000 - £90,000",leeds,securenet,mid-level,security,full-time,2023-04-30,55000.0,90000.0,72500.0
software tester,test software,"manual testing, bug tracking","£30,000 - £50,000",bristol,qa solutions,entry-level,quality assurance,full-time,2023-05-05,30000.0,50000.0,40000.0
cloud solutions architect,design cloud solutions,"aws, azure, architecture","£65,000 - £100,000",newcastle,cloud architects,senior,cloud computing,full-time,2023-06-10,65000.0,100000.0,82500.0
it consultant,provide it consultancy,"consulting, it strategy","£60,000 - £90,000",sheffield,it consultants,senior,consulting,full-time,2023-07-15,60000.0,90000.0,75000.0
front-end developer,develop web interfaces,"javascript, react","£40,000 - £75,000",cardiff,web studios,mid-level,web development,full-time,2023-08-20,40000.0,75000.0,57500.0
business analyst,analyze business needs,"business analysis, requirements","£45,000 - £80,000",london,biz analysts,mid-level,business analysis,full-time,2023-09-25,45000.0,80000.0,62500.0
it helpdesk support,provide it support,"troubleshooting, customer service","£25,000 - £40,000",manchester,it helpdesk,entry-level,support,full-time,2023-10-30,25000.0,40000.0,32500.0
devsecops engineer,secure devops pipeline,"devsecops, ci/cd","£60,000 - £95,000",birmingham,secure devops,mid-level,devops,full-time,2023-11-05,60000.0,95000.0,77500.0
data engineer,build data pipelines,"etl, big data, sql","£50,000 - £85,000",edinburgh,data engineers,mid-level,data engineering,full-time,2023-12-10,50000.0,85000.0,67500.0
it trainer,train it professionals,"training, it education","£35,000 - £60,000",glasgow,it training,junior,education,full-time,2023-01-15,35000.0,60000.0,47500.0
cloud security engineer,secure cloud,"cloud security, encryption","£65,000 - £100,000",leeds,securecloud,mid-level,security,full-time,2023-02-20,65000.0,100000.0,82500.0
it procurement specialist,procure it resources,"procurement, vendor management","£50,000 - £80,000",bristol,procureit,mid-level,procurement,full-time,2023-03-25,50000.0,80000.0,65000.0
ux researcher,conduct ux research,"user research, ux design","£45,000 - £75,000",newcastle,ux labs,mid-level,design,full-time,2023-04-30,45000.0,75000.0,60000.0
blockchain developer,develop blockchain,"blockchain, solidity","£55,000 - £90,000",sheffield,blockchain tech,mid-level,blockchain,full-time,2023-05-05,55000.0,90000.0,72500.0
it risk analyst,analyze it risks,"risk assessment, compliance","£50,000 - £80,000",cardiff,risk analysts,mid-level,risk management,full-time,2023-06-10,50000.0,80000.0,65000.0
cloud support engineer,support cloud,"aws, azure, cloud services","£40,000 - £70,000",london,cloud support,junior,support,full-time,2023-07-15,40000.0,70000.0,55000.0
it sales manager,manage it sales team,"sales, it sales","£70,000 - £110,000",manchester,sales leaders,senior,sales,full-time,2023-08-20,70000.0,110000.0,90000.0
data privacy officer,ensure data privacy,"gdpr, data protection","£55,000 - £85,000",birmingham,data privacy,mid-level,data privacy,full-time,2023-09-25,55000.0,85000.0,70000.0
software architect,design software,"architecture, design patterns","£75,000 - £120,000",edinburgh,software architects,senior,software design,full-time,2023-10-30,75000.0,120000.0,97500.0
it quality analyst,ensure software quality,"qa, testing","£45,000 - £75,000",glasgow,qa analysts,mid-level,quality assurance,full-time,2023-11-05,45000.0,75000.0,60000.0
mobile app developer,develop mobile apps,"ios, android, mobile development","£50,000 - £90,000",leeds,mobile devs,mid-level,mobile development,full-time,2023-12-10,50000.0,90000.0,70000.0
it procurement manager,manage procurement,"procurement, supply chain","£70,000 - £110,000",bristol,procurement mgmt,senior,procurement,full-time,2023-01-15,70000.0,110000.0,90000.0
it compliance officer,ensure it compliance,"compliance, regulations","£60,000 - £95,000",newcastle,compliance experts,mid-level,compliance,full-time,2023-02-20,60000.0,95000.0,77500.0
full-stack developer,develop full-stack apps,"javascript, node.js","£55,000 - £90,000",sheffield,full-stack devs,mid-level,web development,full-time,2023-03-25,55000.0,90000.0,72500.0
it business analyst,analyze it needs,"business analysis, it strategy","£50,000 - £85,000",cardiff,it analysts,mid-level,business analysis,full-time,2023-04-30,50000.0,85000.0,67500.0
it trainer assistant,assist it training,"training, it education","£30,000 - £50,000",london,it training assist,entry-level,education,full-time,2023-05-05,30000.0,50000.0,40000.0
ai ethics consultant,ensure ai ethics,"ethics, ai governance","£60,000 - £100,000",manchester,ai ethics,mid-level,ethics,full-time,2023-06-10,60000.0,100000.0,80000.0
it support specialist,provide it support,"windows, troubleshooting","£35,000 - £55,000",birmingham,it support specialists,junior,support,full-time,2023-07-15,35000.0,55000.0,45000.0
data analytics manager,manage data analytics,"data analytics, team management","£70,000 - £110,000",edinburgh,data managers,senior,analytics,full-time,2023-08-20,70000.0,110000.0,90000.0
it project coordinator,coordinate it projects,project coordination,"£40,000 - £70,000",glasgow,project coordinators,mid-level,project management,full-time,2023-09-25,40000.0,70000.0,55000.0
cloud solutions analyst,analyze cloud solutions,"aws, azure, cloud analysis","£45,000 - £75,000",leeds,cloud analysts,mid-level,cloud computing,full-time,2023-10-30,45000.0,75000.0,60000.0
it governance manager,manage it governance,"it governance, compliance","£65,000 - £100,000",bristol,it governance mgmt,senior,governance,full-time,2023-11-05,65000.0,100000.0,82500.0
cybersecurity engineer,secure it systems,"cybersecurity, penetration testing","£55,000 - £90,000",newcastle,cybersecurity engineers,mid-level,security,full-time,2023-12-10,55000.0,90000.0,72500.0
it procurement analyst,analyze it procurement,procurement analysis,"£50,000 - £85,000",cardiff,procurement analysts,mid-level,procurement,full-time,2023-01-15,50000.0,85000.0,67500.0
ux designer,design user experiences,"ux design, prototyping","£45,000 - £75,000",london,ux designers,mid-level,design,full-time,2023-02-20,45000.0,75000.0,60000.0
it change manager,manage it changes,"change management, it strategy","£60,000 - £100,000",manchester,change managers,senior,change management,full-time,2023-03-25,60000.0,100000.0,80000.0
it service desk analyst,provide service desk support,"it service desk, troubleshooting","£30,000 - £50,000",birmingham,service desk,entry-level,support,full-time,2023-04-30,30000.0,50000.0,40000.0
cloud security analyst,analyze cloud security,"cloud security, threat analysis","£45,000 - £75,000",edinburgh,cloud security,mid-level,security,full-time,2023-05-05,45000.0,75000.0,60000.0
it business continuity manager,ensure business continuity,"business continuity, disaster recovery","£70,000 - £110,000",glasgow,continuity managers,senior,business continuity,full-time,2023-06-10,70000.0,110000.0,90000.0
qa automation engineer,automate software testing,"test automation, selenium","£55,000 - £90,000",leeds,qa automation,mid-level,quality assurance,full-time,2023-07-15,55000.0,90000.0,72500.0
data governance analyst,manage data governance,"data governance, data quality","£50,000 - £85,000",bristol,data governance,mid-level,governance,full-time,2023-08-20,50000.0,85000.0,67500.0
it trainer specialist,specialize in it training,"training, specialization","£40,000 - £70,000",newcastle,it training specialists,mid-level,education,full-time,2023-09-25,40000.0,70000.0,55000.0
machine learning engineer,develop ml models,"machine learning, python","£60,000 - £100,000",cardiff,ml engineers,mid-level,machine learning,full-time,2023-10-30,60000.0,100000.0,80000.0
it asset manager,manage it assets,"it asset management, inventory","£55,000 - £90,000",london,asset managers,mid-level,asset management,full-time,2023-11-05,55000.0,90000.0,72500.0
it security consultant,provide security consultancy,security consulting,"£50,000 - £85,000",manchester,security consultants,mid-level,security,full-time,2023-12-10,50000.0,85000.0,67500.0
data analyst intern,analyze data as an intern,"sql, excel","£20,000 - £30,000",birmingham,data interns,internship,analytics,full-time,2023-01-15,20000.0,30000.0,25000.0
it sales representative,sell it solutions,"sales, it sales","£40,000 - £70,000",edinburgh,sales reps,junior,sales,full-time,2023-02-20,40000.0,70000.0,55000.0
cloud migration specialist,migrate to the cloud,"cloud migration, aws, azure","£55,000 - £90,000",glasgow,cloud migrators,mid-level,cloud computing,full-time,2023-03-25,55000.0,90000.0,72500.0
it procurement coordinator,coordinate it procurement,procurement coordination,"£45,000 - £75,000",leeds,procurement coordinators,mid-level,procurement,full-time,2023-04-30,45000.0,75000.0,60000.0
it analyst trainee,train as an it analyst,"it analysis, training","£25,000 - £35,000",bristol,it analyst trainees,entry-level,training,full-time,2023-05-05,25000.0,35000.0,30000.0
ux research assistant,assist in ux research,"ux research, support","£30,000 - £45,000",newcastle,ux research assistants,entry-level,research,full-time,2023-06-10,30000.0,45000.0,37500.0
it compliance specialist,ensure it compliance,"compliance, regulations","£50,000 - £85,000",cardiff,compliance specialists,mid-level,compliance,full-time,2023-07-15,50000.0,85000.0,67500.0
software development intern,intern in software dev,"programming, internship","£20,000 - £30,000",london,dev interns,internship,software development,full-time,2023-08-20,20000.0,30000.0,25000.0
network administrator trainee,train as network admin,"networking, training","£25,000 - £35,000",manchester,network admin trainees,entry-level,networking,full-time,2023-09-25,25000.0,35000.0,30000.0
cloud solutions intern,intern in cloud solutions,"cloud computing, internship","£20,000 - £30,000",birmingham,cloud interns,internship,cloud,full-time,2023-10-30,20000.0,30000.0,25000.0
data engineer,build data pipelines,"big data, python, sql","£55,000 - £85,000",cardiff,data innovators,mid-level,data engineering,full-time,2023-01-05,55000.0,85000.0,70000.0
software developer,develop software,"java, c++, software design","£50,000 - £80,000",leeds,codecrafters,mid-level,software development,full-time,2023-02-10,50000.0,80000.0,65000.0
it analyst,analyze it systems,"it analysis, troubleshooting","£40,000 - £65,000",birmingham,it insights,junior,it analysis,full-time,2023-03-15,40000.0,65000.0,52500.0
cloud solutions architect,design cloud solutions,"aws, azure, cloud architecture","£60,000 - £90,000",manchester,cloud architects,senior,cloud computing,full-time,2023-04-20,60000.0,90000.0,75000.0
cybersecurity analyst,protect data,"cybersecurity, threat analysis","£50,000 - £80,000",edinburgh,secureguard,mid-level,security,full-time,2023-05-25,50000.0,80000.0,65000.0
it project manager,manage projects,"pmp, agile, project management","£70,000 - £100,000",glasgow,project leaders,senior,project management,full-time,2023-06-30,70000.0,100000.0,85000.0
data scientist,analyze big data,"r, python, machine learning","£55,000 - £85,000",newcastle,data insights,mid-level,data science,full-time,2023-07-05,55000.0,85000.0,70000.0
devops engineer,streamline devops,"docker, jenkins, devops","£50,000 - £75,000",sheffield,devops solutions,mid-level,devops,full-time,2023-08-10,50000.0,75000.0,62500.0
it support analyst,provide it support,"windows, linux, troubleshooting","£30,000 - £45,000",cardiff,it services,entry-level,support,full-time,2023-09-15,30000.0,45000.0,37500.0
ux/ui designer,design user interfaces,"ui/ux design, prototyping","£40,000 - £70,000",london,design studios,junior,design,full-time,2023-10-20,40000.0,70000.0,55000.0
database analyst,manage databases,"sql, oracle, database management","£40,000 - £65,000",manchester,data solutions,mid-level,database,full-time,2023-11-25,40000.0,65000.0,52500.0
ui developer,design web interfaces,"html, css, javascript","£35,000 - £55,000",birmingham,web creations,junior,web development,full-time,2023-12-10,35000.0,55000.0,45000.0
system administrator,maintain systems,"windows server, networking","£45,000 - £70,000",edinburgh,system services,mid-level,it services,full-time,2023-12-15,45000.0,70000.0,57500.0
ai/ml engineer,develop ai models,"python, tensorflow, ai/ml","£55,000 - £85,000",glasgow,ai innovations,mid-level,artificial intelligence,full-time,2023-12-20,55000.0,85000.0,70000.0
it auditor,audit it systems,"audit, risk management","£50,000 - £80,000",leeds,audit experts,mid-level,audit,full-time,2023-12-25,50000.0,80000.0,65000.0
network security engineer,secure networks,"security, firewall","£55,000 - £90,000",bristol,securenet,mid-level,security,full-time,2023-12-30,55000.0,90000.0,72500.0
software tester,test software,"manual testing, bug tracking","£30,000 - £50,000",newcastle,qa solutions,entry-level,quality assurance,full-time,2023-12-31,30000.0,50000.0,40000.0
cloud solutions architect,design cloud solutions,"aws, azure, cloud architecture","£60,000 - £90,000",cardiff,cloud innovators,senior,cloud computing,full-time,2023-12-10,60000.0,90000.0,75000.0
it consultant,provide it consultancy,"consulting, it strategy","£60,000 - £90,000",birmingham,it consultants,senior,consulting,full-time,2023-12-15,60000.0,90000.0,75000.0
front-end developer,develop web interfaces,"javascript, react","£40,000 - £75,000",edinburgh,web studios,mid-level,web development,full-time,2023-12-20,40000.0,75000.0,57500.0
business analyst,analyze business needs,"business analysis, requirements","£45,000 - £80,000",glasgow,biz analysts,mid-level,business analysis,full-time,2023-12-25,45000.0,80000.0,62500.0
it helpdesk support,provide it support,"troubleshooting, customer service","£25,000 - £40,000",leeds,it helpdesk,entry-level,support,full-time,2023-12-30,25000.0,40000.0,32500.0
devsecops engineer,secure devops pipeline,"devsecops, ci/cd","£60,000 - £95,000",bristol,secure devops,mid-level,devops,full-time,2023-12-31,60000.0,95000.0,77500.0
data engineer,build data pipelines,"etl, big data, sql","£50,000 - £85,000",cardiff,data engineers,mid-level,data engineering,full-time,2022-01-05,50000.0,85000.0,67500.0
it trainer,train it professionals,"training, it education","£35,000 - £60,000",manchester,it training,junior,education,full-time,2022-02-10,35000.0,60000.0,47500.0
cloud security engineer,secure cloud,"cloud security, encryption","£65,000 - £100,000",birmingham,securecloud,mid-level,security,full-time,2022-03-15,65000.0,100000.0,82500.0
it procurement specialist,procure it resources,"procurement, vendor management","£50,000 - £80,000",edinburgh,procureit,mid-level,procurement,full-time,2022-04-20,50000.0,80000.0,65000.0
ux researcher,conduct ux research,"user research, ux design","£45,000 - £75,000",glasgow,ux labs,mid-level,design,full-time,2022-05-25,45000.0,75000.0,60000.0
blockchain developer,develop blockchain,"blockchain, solidity","£55,000 - £90,000",leeds,blockchain tech,mid-level,blockchain,full-time,2022-06-30,55000.0,90000.0,72500.0
it risk analyst,analyze it risks,"risk assessment, compliance","£50,000 - £80,000",cardiff,risk analysts,mid-level,risk management,full-time,2022-07-05,50000.0,80000.0,65000.0
cloud support engineer,support cloud,"aws, azure, cloud services","£40,000 - £70,000",london,cloud support,junior,support,full-time,2022-08-10,40000.0,70000.0,55000.0
it sales manager,manage it sales team,"sales, it sales","£70,000 - £110,000",manchester,sales leaders,senior,sales,full-time,2022-09-15,70000.0,110000.0,90000.0
data privacy officer,ensure data privacy,"gdpr, data protection","£55,000 - £85,000",birmingham,data privacy,mid-level,data privacy,full-time,2022-10-20,55000.0,85000.0,70000.0
software architect,design software,"architecture, design patterns","£75,000 - £120,000",edinburgh,software architects,senior,software design,full-time,2022-11-25,75000.0,120000.0,97500.0
it quality analyst,ensure software quality,"qa, testing","£45,000 - £75,000",glasgow,qa analysts,mid-level,quality assurance,full-time,2022-12-10,45000.0,75000.0,60000.0
mobile app developer,develop mobile apps,"ios, android, mobile development","£50,000 - £90,000",leeds,mobile devs,mid-level,mobile development,full-time,2022-12-15,50000.0,90000.0,70000.0
it procurement manager,manage procurement,"procurement, supply chain","£70,000 - £110,000",cardiff,procurement mgmt,senior,procurement,full-time,2022-12-20,70000.0,110000.0,90000.0
it compliance officer,ensure it compliance,"compliance, regulations","£60,000 - £95,000",london,compliance experts,mid-level,compliance,full-time,2022-12-25,60000.0,95000.0,77500.0
full-stack developer,develop full-stack apps,"javascript, node.js","£55,000 - £90,000",manchester,full-stack devs,mid-level,web development,full-time,2022-12-30,55000.0,90000.0,72500.0
it business analyst,analyze it needs,"business analysis, it strategy","£50,000 - £85,000",birmingham,it analysts,mid-level,business analysis,full-time,2022-12-31,50000.0,85000.0,67500.0
it trainer assistant,assist it training,"training, it education","£30,000 - £50,000",edinburgh,it training assist,entry-level,education,full-time,2023-12-10,30000.0,50000.0,40000.0
ai ethics consultant,ensure ai ethics,"ethics, ai governance","£60,000 - £100,000",glasgow,ai ethics,mid-level,ethics,full-time,2023-12-15,60000.0,100000.0,80000.0
it support specialist,provide it support,"windows, troubleshooting","£35,000 - £55,000",leeds,it support specialists,junior,support,full-time,2023-12-20,35000.0,55000.0,45000.0
data analytics manager,manage data analytics,"data analytics, team management","£70,000 - £110,000",cardiff,data managers,senior,analytics,full-time,2023-12-25,70000.0,110000.0,90000.0
it project coordinator,coordinate it projects,project coordination,"£40,000 - £70,000",london,project coordinators,mid-level,project management,full-time,2023-12-30,40000.0,70000.0,55000.0
cloud solutions analyst,analyze cloud solutions,"aws, azure, cloud analysis","£45,000 - £75,000",manchester,cloud analysts,mid-level,cloud computing,full-time,2023-12-31,45000.0,75000.0,60000.0
it governance manager,manage it governance,"it governance, compliance","£65,000 - £100,000",birmingham,it governance mgmt,senior,governance,full-time,2022-01-05,65000.0,100000.0,82500.0
cybersecurity engineer,secure it systems,"cybersecurity, penetration testing","£55,000 - £90,000",edinburgh,cybersecurity engineers,mid-level,security,full-time,2022-02-10,55000.0,90000.0,72500.0
it procurement analyst,analyze it procurement,procurement analysis,"£50,000 - £85,000",glasgow,procurement analysts,mid-level,procurement,full-time,2022-03-15,50000.0,85000.0,67500.0
ux designer,design user experiences,"ux design, prototyping","£45,000 - £75,000",leeds,ux designers,mid-level,design,full-time,2022-04-20,45000.0,75000.0,60000.0
software engineer,develop software,"java, python, software development","£50,000 - £80,000",london,tech solutions,mid-level,software development,full-time,2022-01-05,50000.0,80000.0,65000.0
data analyst,analyze data,"sql, data visualization","£40,000 - £65,000",manchester,data insights,junior,data analysis,full-time,2022-02-10,40000.0,65000.0,52500.0
network engineer,manage networks,"cisco, network troubleshooting","£45,000 - £75,000",birmingham,network experts,mid-level,networking,full-time,2022-03-15,45000.0,75000.0,60000.0
cloud architect,design cloud solutions,"aws, azure, cloud architecture","£60,000 - £90,000",edinburgh,cloud innovators,senior,cloud computing,full-time,2022-04-20,60000.0,90000.0,75000.0
cybersecurity analyst,secure it systems,"cybersecurity, threat analysis","£50,000 - £80,000",glasgow,secureguard,mid-level,security,full-time,2022-05-25,50000.0,80000.0,65000.0
it project manager,manage projects,"pmp, agile, project management","£70,000 - £100,000",leeds,project leaders,senior,project management,full-time,2022-06-30,70000.0,100000.0,85000.0
data scientist,analyze big data,"r, python, machine learning","£55,000 - £85,000",sheffield,data insights,mid-level,data science,full-time,2022-07-05,55000.0,85000.0,70000.0
devops engineer,streamline devops,"docker, jenkins, devops","£50,000 - £75,000",cardiff,devops solutions,mid-level,devops,full-time,2022-08-10,50000.0,75000.0,62500.0
it support analyst,provide it support,"windows, linux, troubleshooting","£30,000 - £45,000",london,it services,entry-level,support,full-time,2022-09-15,30000.0,45000.0,37500.0
ux/ui designer,design user interfaces,"ui/ux design, prototyping","£40,000 - £70,000",manchester,design studios,junior,design,full-time,2022-10-20,40000.0,70000.0,55000.0
database analyst,manage databases,"sql, oracle, database management","£40,000 - £65,000",birmingham,data solutions,mid-level,database,full-time,2022-11-25,40000.0,65000.0,52500.0
ui developer,design web interfaces,"html, css, javascript","£35,000 - £55,000",edinburgh,web creations,junior,web development,full-time,2022-12-10,35000.0,55000.0,45000.0
system administrator,maintain systems,"windows server, networking","£45,000 - £70,000",glasgow,system services,mid-level,it services,full-time,2022-12-15,45000.0,70000.0,57500.0
ai/ml engineer,develop ai models,"python, tensorflow, ai/ml","£55,000 - £85,000",leeds,ai innovations,mid-level,artificial intelligence,full-time,2022-12-20,55000.0,85000.0,70000.0
it auditor,audit it systems,"audit, risk management","£50,000 - £80,000",bristol,audit experts,mid-level,audit,full-time,2022-12-25,50000.0,80000.0,65000.0
network security engineer,secure networks,"security, firewall","£55,000 - £90,000",newcastle,securenet,mid-level,security,full-time,2022-12-30,55000.0,90000.0,72500.0
software tester,test software,"manual testing, bug tracking","£30,000 - £50,000",cardiff,qa solutions,entry-level,quality assurance,full-time,2022-05-25,30000.0,50000.0,40000.0
cloud solutions architect,design cloud solutions,"aws, azure, cloud architecture","£60,000 - £90,000",london,cloud architects,senior,cloud computing,full-time,2022-06-30,60000.0,90000.0,75000.0
it consultant,provide it consultancy,"consulting, it strategy","£60,000 - £90,000",manchester,it consultants,senior,consulting,full-time,2022-07-05,60000.0,90000.0,75000.0
front-end developer,develop web interfaces,"javascript, react","£40,000 - £75,000",birmingham,web studios,mid-level,web development,full-time,2022-08-10,40000.0,75000.0,57500.0
business analyst,analyze business needs,"business analysis, requirements","£45,000 - £80,000",edinburgh,biz analysts,mid-level,business analysis,full-time,2022-09-15,45000.0,80000.0,62500.0
it helpdesk support,provide it support,"troubleshooting, customer service","£25,000 - £40,000",glasgow,it helpdesk,entry-level,support,full-time,2022-10-20,25000.0,40000.0,32500.0
devsecops engineer,secure devops pipeline,"devsecops, ci/cd","£60,000 - £95,000",leeds,secure devops,mid-level,devops,full-time,2022-11-25,60000.0,95000.0,77500.0
data engineer,build data pipelines,"etl, big data, sql","£50,000 - £85,000",bristol,data engineers,mid-level,data engineering,full-time,2022-12-10,50000.0,85000.0,67500.0
it trainer,train it professionals,"training, it education","£35,000 - £60,000",newcastle,it training,junior,education,full-time,2022-12-15,35000.0,60000.0,47500.0
cloud security engineer,secure cloud,"cloud security, encryption","£65,000 - £100,000",cardiff,securecloud,mid-level,security,full-time,2022-12-20,65000.0,100000.0,82500.0
it procurement specialist,procure it resources,"procurement, vendor management","£50,000 - £80,000",edinburgh,procureit,mid-level,procurement,full-time,2022-12-25,50000.0,80000.0,65000.0
ux researcher,conduct ux research,"user research, ux design","£45,000 - £75,000",glasgow,ux labs,mid-level,design,full-time,2022-12-30,45000.0,75000.0,60000.0
blockchain developer,develop blockchain,"blockchain, solidity","£55,000 - £90,000",leeds,blockchain tech,mid-level,blockchain,full-time,2023-01-01,55000.0,90000.0,72500.0
it risk analyst,analyze it risks,"risk assessment, compliance","£50,000 - £80,000",cardiff,risk analysts,mid-level,risk management,full-time,2023-01-02,50000.0,80000.0,65000.0
cloud support engineer,support cloud,"aws, azure, cloud services","£40,000 - £70,000",london,cloud support,junior,support,full-time,2023-01-03,40000.0,70000.0,55000.0
it sales manager,manage it sales team,"sales, it sales","£70,000 - £110,000",manchester,sales leaders,senior,sales,full-time,2023-01-04,70000.0,110000.0,90000.0
data privacy officer,ensure data privacy,"gdpr, data protection","£55,000 - £85,000",birmingham,data privacy,mid-level,data privacy,full-time,2023-01-05,55000.0,85000.0,70000.0
software architect,design software,"architecture, design patterns","£75,000 - £120,000",edinburgh,software architects,senior,software design,full-time,2023-01-06,75000.0,120000.0,97500.0
it quality analyst,ensure software quality,"qa, testing","£45,000 - £75,000",glasgow,qa analysts,mid-level,quality assurance,full-time,2023-01-07,45000.0,75000.0,60000.0
mobile app developer,develop mobile apps,"ios, android, mobile development","£50,000 - £90,000",leeds,mobile devs,mid-level,mobile development,full-time,2023-01-08,50000.0,90000.0,70000.0
it procurement manager,manage procurement,"procurement, supply chain","£70,000 - £110,000",cardiff,procurement mgmt,senior,procurement,full-time,2023-01-09,70000.0,110000.0,90000.0
it compliance officer,ensure it compliance,"compliance, regulations","£60,000 - £95,000",london,compliance experts,mid-level,compliance,full-time,2023-01-10,60000.0,95000.0,77500.0
full-stack developer,develop full-stack apps,"javascript, node.js","£55,000 - £90,000",manchester,full-stack devs,mid-level,web development,full-time,2023-01-11,55000.0,90000.0,72500.0
it business analyst,analyze it needs,"business analysis, it strategy","£50,000 - £85,000",birmingham,it analysts,mid-level,business analysis,full-time,2023-01-12,50000.0,85000.0,67500.0
it trainer assistant,assist it training,"training, it education","£30,000 - £50,000",edinburgh,it training assist,entry-level,education,full-time,2023-01-13,30000.0,50000.0,40000.0
ai ethics consultant,ensure ai ethics,"ethics, ai governance","£60,000 - £100,000",glasgow,ai ethics,mid-level,ethics,full-time,2023-01-14,60000.0,100000.0,80000.0
it support specialist,provide it support,"windows, troubleshooting","£35,000 - £55,000",leeds,it support specialists,junior,support,full-time,2023-01-15,35000.0,55000.0,45000.0
data analytics manager,manage data analytics,"data analytics, team management","£70,000 - £110,000",cardiff,data managers,senior,analytics,full-time,2023-01-16,70000.0,110000.0,90000.0
it project coordinator,coordinate it projects,project coordination,"£40,000 - £70,000",london,project coordinators,mid-level,project management,full-time,2023-01-17,40000.0,70000.0,55000.0
cloud solutions analyst,analyze cloud solutions,"aws, azure, cloud analysis","£45,000 - £75,000",manchester,cloud analysts,mid-level,cloud computing,full-time,2023-01-18,45000.0,75000.0,60000.0
it governance manager,manage it governance,"it governance, compliance","£65,000 - £100,000",birmingham,it governance mgmt,senior,governance,full-time,2023-01-19,65000.0,100000.0,82500.0
cybersecurity engineer,secure it systems,"cybersecurity, penetration testing","£55,000 - £90,000",edinburgh,cybersecurity engineers,mid-level,security,full-time,2023-01-20,55000.0,90000.0,72500.0
it procurement analyst,analyze it procurement,procurement analysis,"£50,000 - £85,000",glasgow,procurement analysts,mid-level,procurement,full-time,2023-01-21,50000.0,85000.0,67500.0
ux designer,design user experiences,"ux design, prototyping","£45,000 - £75,000",leeds,ux designers,mid-level,design,full-time,2023-01-22,45000.0,75000.0,60000.0
software developer,develop web applications,"java, javascript, html/css","£45,000 - £75,000",london,tech innovations,mid-level,software development,full-time,2021-03-15,45000.0,75000.0,60000.0
data analyst,analyze data trends,"sql, excel, data analysis","£40,000 - £70,000",manchester,data insights,junior,data analysis,full-time,2021-04-20,40000.0,70000.0,55000.0
network engineer,manage network infrastructure,"cisco, networking","£50,000 - £80,000",birmingham,network experts,mid-level,networking,full-time,2021-06-10,50000.0,80000.0,65000.0
cloud architect,design cloud solutions,"aws, azure, cloud design","£60,000 - £95,000",edinburgh,cloud innovators,senior,cloud computing,full-time,2021-08-25,60000.0,95000.0,77500.0
cybersecurity analyst,ensure it security,"cybersecurity, threat detection","£55,000 - £90,000",glasgow,secureguard,mid-level,security,full-time,2021-10-05,55000.0,90000.0,72500.0
it project manager,manage it projects,"project management, agile","£70,000 - £110,000",leeds,project leaders,senior,project management,full-time,2021-11-15,70000.0,110000.0,90000.0
data scientist,analyze big data,"python, machine learning","£65,000 - £100,000",sheffield,data insights,mid-level,data science,full-time,2021-12-20,65000.0,100000.0,82500.0
